meal_description,carb,fat,energy,protein,country,serving_type
"For lunch, I'm having a plain hot dog on a white bun (102.0g) with some mustard (5.0g). I have a side of sour cream and onion potato chips (28.0g) and a glass of tap water (240.0g).",41.48,25.14,431.13000000000005,12.260000000000002,USA,metric
"For my snack, I have one Taco Bell soft taco and a cup of grapes to munch on.",47.18,9.89,307.44,10.24,USA,natural
I’ve got a serving of 40 grams of General Mills Cinnamon Toast Crunch for breakfast.,31.28,3.96,154.4,2.04,USA,metric
I'm having a cup of Ensure nutritional shake along with a cup of unsweetened bottled water for a quick snack.,42.54,6.38,264.6,9.58,USA,natural
"I picked up some fast food chicken tenders, about 50 grams, to snack on.",8.62,6.98,135.5,9.61,USA,metric
"I have a chocolate muffin, and it’s 130 grams, for my snack.",65.82,24.05,508.3,8.31,USA,metric
I’m having a sugar-free oatmeal cookie weighing 30 grams for dinner.,20.97,5.4,134.7,1.44,USA,metric
"I have a breakfast spread of a 135g egg and cheese omelet made with oil, 20g of pork sausage, 60g of frozen French toast, and 15g of light pancake syrup.",26.39,30.7,485.75,25.38,USA,metric
Lunch today includes one chicken finger and a cup of reduced fat chocolate milk.,38.7,11.69,323.98,17.03,USA,natural
"For my lunch, I had a slice of white bread weighing 28 grams, some canned pineapple that was 56 grams, and a generous serving of beef stew that was 252 grams.",44.14,6.640000000000001,308.28,18.53,USA,metric
"This morning, I’m enjoying a cup of whole milk along with a cup of General Mills Cheerios.",31.89,9.66,250.56,11.47,USA,natural
"I’m enjoying a 4 oz yogurt, along with a mozzarella cheese stick, a medium fruit muffin, and a cup of chocolate milk for lunch.",119.88,28.22,838.7099999999999,26.24,USA,natural
"For this snack, I have 57 grams of Doritos tortilla chips and one raw banana that weighs 126 grams.",63.44,16.05,407.97,5.57,USA,metric
"For dinner, I'm having 30 grams of turkey.",0.0,0.62,41.7,8.64,USA,metric
"For lunch, I'm having a taco with chicken (98.0g) and a diet cola (360.0g).",21.02,13.73,257.1,12.9,USA,metric
"For breakfast, I'm having a small bag of baked flavored potato chips and a small bag of cheese-flavored popcorn.",34.34,14.37,278.04,3.99,USA,natural
"For dinner, I have a 201g tuna salad wrap sandwich, a side of 21g sweet pickles, and I'm drinking 360g of bottled water.",38.35,29.98,513.5699999999999,21.55,USA,metric
I’m enjoying a 132g slice of cheese pizza with 507g of bottled unsweetened water for lunch.,43.78,13.91,357.72,14.27,USA,metric
I’m snacking on a raw orange that's 154 grams and 28 grams of cheesy corn snacks.,33.09,10.26,229.18,3.09,USA,metric
"For lunch, I'm having 61 grams of Kellogg's Raisin Bran cereal with 244 grams of reduced fat (2%) milk.",59.13,6.3,315.98,12.88,USA,metric
"I ordered a small milkshake from fast food, choosing a flavor other than chocolate to enjoy as a snack.",79.34,26.41,599.4,13.65,USA,natural
I grabbed 1.2 grams of unsalted almonds for a little snack.,0.24,0.65,7.28,0.24,USA,metric
I have one enchilada with meat and red-chile sauce for dinner.,12.92,8.83,173.24,11.16,USA,natural
"I grabbed a doughnut with icing, it's a cake type, for my snack.",38.42,17.39,323.25,3.19,USA,natural
I had a snack that included a cup of tap water and one medium brownie cookie topped with icing.,41.31,11.02,260.65,1.91,USA,natural
"For a snack, I had a 50g Popsicle and a 60g yeast doughnut.",38.38,13.739999999999998,292.1,3.68,USA,metric
"For breakfast, I'm having 165 grams of raw pineapple and 600 grams of bottled unsweetened water.",21.65,0.2,82.5,0.89,USA,metric
"This morning, I'm snacking on 50 grams of honey roasted cashews.",21.85,20.59,279.0,5.16,USA,metric
"I’m starting my day with a cup of water, a Kool-Aid Jammers fruit juice drink, and a raw banana.",49.89,0.62,197.7,1.61,USA,natural
"For lunch, I'm having a small bag of Goldfish cheese crackers and a peanut butter and jelly sandwich on wheat bread.",75.12,28.97,622.13,18.99,USA,natural
I’m having breakfast with 50 grams of pancakes and chocolate on top.,20.58,7.9,169.0,3.85,USA,metric
"For a snack, I'm having a 38-gram marshmallow cookie made with rice cereal and chocolate chips.",24.04,6.91,165.3,1.73,USA,metric
"For breakfast, I’ve got a 66-gram cornbread muffin paired with 244 grams of low-fat milk.",46.31999999999999,7.859999999999999,306.22,12.14,USA,metric
I’m enjoying a meatless burrito with beans that weighs 285 grams along with 35 grams of cheese-flavored corn snacks.,73.17999999999999,37.77,743.2,28.33,USA,metric
I’m drinking a 372g soft drink with a fruit or vanilla flavor and eating 586g of chicken noodle soup for lunch.,56.53,5.5,296.88,7.03,USA,metric
"For my snack, I’m eating a slice of Queso Fresco that’s about the size of a cracker.",0.27,2.14,26.91,1.63,USA,natural
I'm snacking on 26 grams of fruit snacks rich in vitamin C and 64 grams of low-fat yogurt with fruit.,32.120000000000005,0.88,148.48,3.0,USA,metric
"For brunch, I'm having 30 grams of chocolate chip cookies along with 28 grams of reduced sodium tortilla chips.",38.67,12.98,284.52,4.15,USA,metric
"For breakfast, I had a small cup of brewed coffee with a 1 fl-oz container of half and half, and a large slice of toasted white bread.",22.38,5.0600000000000005,158.73,5.41,USA,natural
"I’m having 248 grams of chocolate milk for breakfast, mixed with whole milk from a dry mix.",24.65,7.79,200.88,8.33,USA,metric
I enjoyed a 36-gram Clif Kids Organic Zbar along with a 507-gram bottle of water as a quick snack.,26.9,3.5,149.76,2.0,USA,metric
I made myself a cup of chocolate milk with reduced fat milk and syrup for a quick snack.,32.76,4.09,195.92,7.19,USA,natural
"I'm starting my day with 15.5 grams of protein powder, a bowl of 210 grams of instant fruit oatmeal, and a big bottle of 507 grams of unsweetened water.",43.16,2.74,264.56,17.02,USA,metric
"Lunch consists of a medium white roll, a cup of chow mein noodles, and a cup of tap water.",50.61,19.44,411.73,9.98,USA,natural
"For dinner, I'm having a medium piece of thin crust cheese pizza along with a Capri Sun juice drink.",38.260000000000005,8.92,262.8,8.1,USA,natural
"I'm snacking on 14 grams of hard candy, a bit of chewing gum at 2.8 grams, and 17 grams of chocolate-covered coconut candy.",26.4,4.56,147.26,0.78,USA,metric
"Dinner today includes a cup of whole milk, one medium slice of garlic bread topped with melted cheese, a tablespoon of Parmesan cheese, and a cup of whole grain pasta with a tomato sauce, poultry, and vegetables that I made myself.",90.7,29.23,741.79,33.98,USA,natural
"I had a breakfast that included a 130-gram fruit muffin, 15 grams of liquid flavored coffee creamer, and 360 grams of brewed coffee.",74.16000000000001,22.98,528.75,6.369999999999999,USA,metric
"I’m enjoying a snack of hot chocolate made from a dry mix and water, plus a cup of plain tap water.",28.27,1.36,133.92,2.26,USA,natural
I'm enjoying a frankfurter in a white bun along with a bottle of water for my lunch.,24.29,18.56,314.16,11.41,USA,natural
I have a slice of school lunch cheese pizza and a 16.9 fl oz bottle of water for lunch.,43.66,12.63,367.5,20.09,USA,natural
"For a snack, I'm having a 17g MILKY WAY Bar and some chewing gum that weighs 2.8g.",14.77,2.94,85.81,0.68,USA,metric
"For a quick snack, I've got a cup of 2% lactose-free milk and a small shortbread cookie.",29.51,12.57,266.2,9.58,USA,natural
"For lunch, I'm having a 269.0g hot dog sandwich with chili on a white bun, along with a 372.0g cola.",91.48,34.61,774.94,24.51,USA,metric
I'm going to eat a personal size frozen pizza with meat and veggies for dinner.,54.3,31.17,596.16,24.36,USA,natural
I’m snacking on a medium Pan Dulce with a sugar topping and a cup of my instant coffee that’s pre-sweetened.,65.08,13.66,412.3,8.489999999999998,USA,natural
Dinner consists of a 75g light ice cream sandwich in chocolate and a 90g tuna salad sandwich on bread.,44.85,16.88,380.25,12.54,USA,metric
"I’m snacking on a peach, a banana, and a small single serving of baked potato chips.",63.92,5.92,306.46,4.130000000000001,USA,natural
I’m having a quick snack of a scrambled egg cooked in oil along with a slice of prepackaged turkey.,0.99,9.52,134.73,10.59,USA,natural
"For lunch, I had a 92.0g chicken fillet sandwich from the school cafeteria and a 244.0g glass of low-fat milk.",40.08,9.74,335.84,21.7,USA,metric
"For lunch, I'm having a peanut butter and jelly sandwich (112 grams) made with regular peanut butter and jelly on wheat bread, along with 240 grams of tap water.",48.38,18.74,402.08,14.07,USA,metric
I’m eating a slice of thin crust pizza with meat and fruit and a small single serving of plain potato chips this evening.,44.15,22.75,439.91,15.57,USA,natural
"For lunch, I'm eating a soft taco with meat that weighs 103 grams.",20.99,11.13,228.66,11.01,USA,metric
"For dinner, I'm having a medium slice of Grecian Italian bread with a cup of raw tomatoes.",21.91,1.21,112.69,4.52,USA,natural
"For lunch, I had a cup of tomato sauce pasta from a restaurant, a cup of bottled water, and a cup of plain Fritos.",71.79,34.93,635.05,11.3,USA,natural
"This morning, I have a cup of smoothie made from whole fruit without any dairy and a cup of oatmeal beverage with water.",53.57,1.17,268.64,14.14,USA,natural
"For breakfast today, I enjoyed a large frosted cinnamon bun along with an apricot.",78.25,40.85,708.3599999999999,7.3,USA,natural
Breakfast today is an 8 fl oz bottle of orange juice and a cup of instant maple oatmeal.,76.5,3.3,361.36,7.550000000000001,USA,natural
"For a snack, I'm having 244 grams of whole milk, 150 grams of nonfat Greek yogurt with fruit, and a 24-gram Quaker Chewy 90 Calorie Granola Bar.",48.69,10.03,368.82,21.09,USA,metric
"For dinner, it's a slice of medium pepperoni pizza along with a can of cola.",66.68,11.41,404.4,10.33,USA,natural
I enjoyed a 1.813 oz 3 MUSKETEERS Bar along with a 16.9 fl oz bottle of water as my snack.,39.66,6.5,222.36,1.33,USA,natural
"For a snack, I've got 54 grams of Pan Dulce that has fruit and no frosting.",27.49,8.86,200.88,3.35,USA,metric
I’m enjoying a snack of 360 grams of unsweetened carbonated water paired with 28.35 grams of cheddar cheese.,0.69,9.64,115.67,6.61,USA,metric
"For lunch, I'm having a 40g plain reduced-fat frozen waffle.",18.48,2.77,115.6,3.77,USA,metric
Dinner tonight consists of a 99-gram soft taco with meat from fast food and 200 grams of lo mein with pork.,52.39,17.23,479.94,28.12,USA,metric
I’m munching on a banana and treating myself to a soft serve vanilla ice cream cone for a snack.,68.08,6.56,348.39,7.51,USA,natural
I’ll be having a 20g gluten-free cookie for brunch.,15.21,3.58,94.8,0.44,USA,metric
"For my snack, I’m enjoying a bowl of noodle soup that’s 370 grams.",33.93,9.92,247.9,5.74,USA,metric
"I started my day with a frankfurter in a wheat bun, a cup of milk, a 6.75 fl oz juice box of apple juice, and a slice of cheese.",60.120000000000005,23.35,552.86,25.25,USA,natural
"For my snack, I opened a 12 fl oz can of decaffeinated cola and grabbed a 12 fl oz bottle of water.",39.36,0.0,152.52,0.0,USA,natural
I’ve got a 154-gram orange and 372 grams of Gatorade G for dinner.,42.02,0.18,169.1,1.45,USA,metric
"For lunch, I had a 248g fruit-flavored drink, a 92g peanut butter sandwich on white bread, and 28g of plain corn chips. I also had 64g of low-fat yogurt and a 21g Butterfinger.",114.03,32.78,806.03,18.98,USA,metric
"For lunch, I ate a peanut butter and jelly sandwich, drank a cup of bottled water, and had an orange.",68.75,18.69,478.94,14.34,USA,natural
"For a snack, I’m having a 2 oz SNICKERS bar and a roll-up of fruit leather.",46.86,13.99,330.97,4.37,USA,natural
"For lunch, I'm having a medium crust pizza with meat other than pepperoni (203.0g) and a cola (372.0g).",100.7,26.0,724.64,23.34,USA,metric
I’m starting my day with a 341g Slim Fast nutritional drink for breakfast.,26.39,6.58,194.37,11.32,USA,metric
"For a snack, I'm having a nutrition bar and a drink made with vodka and energy drink.",32.620000000000005,4.76,347.34000000000003,10.989999999999998,USA,natural
"For lunch, I'm having a 744.0g bottle of iced black tea, 180.0g of fast food french fries, and a 165.0g McDonald's double cheeseburger.",184.59,54.85,1361.7,32.97,USA,metric
"For a snack, I'm having a bottle of unsweetened water and a small bag of graham crackers.",34.95,4.77,193.5,3.01,USA,natural
I snacked on a SNICKERS Bar that weighed 17g and a 30g chocolate chip cookie.,30.07,11.47,231.07,2.81,USA,metric
"For lunch, it's a slice of medium crust pizza loaded with extra meat and a cup of reduced fat milk.",51.91,23.24,533.0,28.950000000000003,USA,natural
I'm enjoying a 115-gram thin crust pizza that has meat and fruit for my dinner.,29.08,13.24,290.95,13.78,USA,metric
"For lunch, I had a cup of tap water and a peanut butter and jelly sandwich made with regular peanut butter, reduced sugar jelly, and wheat bread.",41.91,18.76,379.68,14.04,USA,natural
"For dinner, I had a medium cup of chocolate ice cream, a can of cola, a small order of fast food french fries, and a cheeseburger from Burger King.",221.52000000000004,92.35,1899.14,53.290000000000006,USA,natural
"For lunch, I'm having a peanut butter and jelly sandwich made with 112.0g of reduced fat peanut butter and regular jelly on white bread, along with a ready-to-drink Ensure nutritional shake, which is 252.0g.",97.45,19.42,646.52,23.56,USA,metric
"For lunch, I'm having a medium hard breadstick.",6.84,0.95,41.2,1.2,USA,natural
"For dinner, I had a cup of beef with vegetables, excluding carrots and broccoli, along with a cup of fried rice. I also enjoyed a cup of orange chicken and a bottle of iced black tea.",187.04,58.47,1542.73,68.91999999999999,USA,natural
"For lunch today, I’m eating a 6-inch cheese sandwich along with a large chocolate chip cookie.",70.13,25.63,577.65,17.51,USA,natural
I have a serving of 250 grams of meat lasagna from my home recipe and I'm drinking 507 grams of bottled water.,32.75,27.28,515.0,34.08,USA,metric
I'm enjoying a 40g frozen chocolate waffle for breakfast.,19.58,4.2,128.0,2.97,USA,metric
I’ve got a cup of beef pot pie paired with a small bag of Fritos corn chips for dinner.,59.02,43.31,712.0400000000001,21.85,USA,natural
I'm enjoying a snack with 1014 grams of bottled water and 524 grams of diet iced green tea.,4.87,0.0,20.96,0.0,USA,metric
I'm having a medium rib of pork spareribs that’s been cooked and had the bone taken out for dinner.,0.0,10.52,137.9,10.09,USA,natural
"For breakfast, I enjoyed a granola bar weighing 24 grams and a cola soft drink that’s 372 grams.",55.39,4.91,256.56,1.36,USA,metric
I have a snack of 28 grams of plain potato chips and a 126-gram banana to munch on.,43.85,9.93,261.1,3.16,USA,metric
I’ve got a medium meatless burrito with beans for breakfast.,54.44,25.17,547.2,26.28,USA,natural
I’ve got 124 grams of 100% pineapple juice for a quick snack.,15.96,0.15,65.72,0.45,USA,metric
I have a serving of 512 grams of iced black tea with sugar for lunch.,40.65,0.1,158.72,0.0,USA,metric
Lunch today includes a juice box of 100% apple juice and a sandwich with a chicken fillet from the school cafeteria.,51.040000000000006,7.689999999999999,327.06,13.66,USA,natural
I’ve got 28 grams of ready-to-eat plain popcorn as my snack.,17.15,6.51,134.96,2.85,USA,metric
"For dinner, I’m having a soft drink that weighs 372 grams and a chicken thigh that’s 165 grams, grilled with sauce and no skin.",50.55,15.05,469.74,32.67,USA,metric
"I made a sandwich for breakfast with an egg, cheese, and bacon griddle cake.",44.0,22.16,456.96,20.21,USA,natural
I'm enjoying a frozen dinner that weighs 312 grams along with 244 grams of whole milk for lunch.,45.52,33.83,598.8,29.28,USA,metric
I'm enjoying a medium fillet of steamed tilapia along with a bottle of unsweetened water for my lunch.,0.0,3.64,205.7,42.92,USA,natural
"For my snack, I’m enjoying 42 grams of tequila and a little bit of hard candy, about 6 grams.",5.88,0.01,120.66,0.0,USA,metric
"For lunch, I'm having a cup of chili con carne made with chicken or turkey and beans, along with a half-ounce container of half and half. I also have a 6 oz container of nonfat Greek yogurt and a cup of brewed coffee.",36.96,8.860000000000001,368.01,36.84,USA,natural
I have a 240-gram bottle of water and an 80-gram plain dosa for breakfast.,29.63,3.24,168.0,4.56,USA,metric
"I’m eating a medium chicken breast that’s been fried and coated, along with a cup of cooked broccoli raab and a cup of white rice with veggies and cheese sauce for dinner.",63.53,36.59,820.42,58.21,USA,natural
I started my day with a meal replacement bar weighing 34 grams and drank 720 grams of tap water.,15.3,4.76,144.84,10.2,USA,metric
28 grams of reduced fat potato chips are my choice for a snack right now.,18.8,5.77,134.96,1.97,USA,metric
I grabbed a snack of one stick of mozzarella cheese and one gumdrop.,11.15,5.78,124.08,6.72,USA,natural
I'm having 170 grams of chocolate-covered almonds for a snack.,55.93,74.54,962.2,29.07,USA,metric
"I’ve got a snack of 180 grams of pear, 200 grams of apple, and I’m drinking 507 grams of bottled water.",55.03,0.5900000000000001,206.6,1.17,USA,metric
"I started my day with a slice of toasted white bread weighing 25 grams, paired with 150 grams of raw avocado, and I’m drinking 240 grams of bottled water.",26.32,22.97,314.25,5.59,USA,metric
"For dinner, I'm having a cup of mashed baked sweet potato, a breaded chicken tender, and a biscuit with gravy.",100.28,39.57,861.3,27.77,USA,natural
"For a snack, I’ve got a 240g submarine sandwich filled with meatballs and spaghetti sauce, topped with 28g of mayonnaise.",62.58,41.24,716.0,23.72,USA,metric
I ate a 4 oz container of low-fat yogurt with fruit and finished it off with a 16.9 fl oz bottle of water for lunch.,16.34,1.55,100.57,5.27,USA,natural
"I’ve got a 372g Cafe Mocha, 240g of tap water, and a 68g Clif Bar for breakfast.",82.56,9.47,473.36,19.52,USA,metric
"I'm having bottled unsweetened water, 507 grams, and a 35 gram granola bar from Nature Valley for a snack.",25.29,4.0,145.25,2.0,USA,metric
Lunch consisted of a 142g piece of thin crust pepperoni pizza from school and a 209g cup of 100% juice.,70.4,12.49,465.18,18.48,USA,metric
"I have one large drink of unsweetened iced tea, a cup of tap water, and one banana for my snack.",30.94,0.42,119.34,1.37,USA,natural
"For a snack, I'm having a medium cup of vanilla ice cream, a bottle of water, and a small bag of lightly salted potato chips.",71.6,36.29,653.32,10.28,USA,natural
"For my snack, I’m enjoying a Kit Kat bar along with a medium cinnamon bun that’s frosted.",71.51,35.129999999999995,629.54,6.8,USA,natural
I have 42 grams of rum for a quick snack.,0.0,0.0,97.02,0.0,USA,metric
"For dinner, I'm having a 320g burrito filled with chicken, beans, rice, and sour cream.",53.6,34.88,662.4,33.82,USA,metric
"For dinner, I'm having a small serving of french fries made from fresh potatoes, a bottle of unsweetened water, a medium hamburger on a wheat bun, and a tablespoon of barbecue sauce.",43.89,27.55,537.59,27.65,USA,natural
"For my snack, I've got one Slim Jim of beef jerky, a half of a dill pickle, and a piece of chocolate-covered fondant.",36.43,6.63,201.54,4.33,USA,natural
"For lunch, I'm having 28 grams of onion-flavored rings, a 60-gram peanut butter and jelly sandwich without crusts, some gumdrops weighing 18 grams, and a 186-gram Capri Sun fruit juice drink.",81.75999999999999,16.38,501.34,9.07,USA,metric
"For lunch, I'm having a whole raw tomato, a regular fried fish sandwich with cheese from a fast food place, a medium order of french fries, a cup of bottled unsweetened water, and a tablespoon of tartar sauce.",101.1,40.540000000000006,889.49,29.31,USA,natural
"For breakfast, I enjoyed some scalloped potatoes, weighing 250 grams, with 244 grams of skim milk.",45.68,24.12,500.46,26.17,USA,metric
"For dinner, I'm having a Taco Bell Soft Taco and a Taco Bell taco.",35.510000000000005,19.56,380.22,16.07,USA,natural
I'm having a regular scone with fruit for a snack.,35.56,11.26,256.2,4.28,USA,natural
I’m having a 42-gram butter cookie with chocolate icing along with a 36-gram Clif Kids Organic Zbar as a snack.,55.81,13.37,361.02,3.72,USA,metric
I just cooked a frozen personal size pizza with pepperoni for lunch.,70.64,27.08,644.98,29.58,USA,natural
"I'm having a 620-gram soft drink that’s fruit-flavored and caffeine-free for lunch, paired with a 175-gram fried chicken breast and a 195-gram fried chicken leg. I also have a small serving of 28 grams of cheese-flavored potato chips.",108.68999999999998,71.87,1363.66,72.94,USA,metric
"I have a vanilla ice cream sandwich, a small bag of ruffled barbecue chips, and a medium cheese Danish pastry for my snack.",84.61,42.3,756.98,14.07,USA,natural
"For my snack, I’m enjoying a 248g cup of nonfat Cafe Mocha.",25.22,0.22,128.96,6.45,USA,metric
I’m having 20 grams of honey as a snack.,16.48,0.0,60.8,0.06,USA,metric
"For a snack, I'm having 8 grams of taffy and 21 grams of Butterfinger.",21.880000000000003,4.61,128.63,1.19,USA,metric
I enjoyed a small chocolate chip muffin with my cup of brewed coffee for breakfast.,38.58,13.22,281.0,4.24,USA,natural
"I’ve got a baked potato with cheese for dinner, and it’s about a cup.",28.27,12.37,243.2,5.78,USA,natural
I’m snacking on a medium apple and a bottle of fruit juice drink that’s 16 fl oz.,40.02,0.34,153.6,0.52,USA,natural
"For dinner, I'm having a jar of strained garden mixed vegetables baby food and a jar of strained banana baby food.",33.01,0.35,141.25,2.27,USA,natural
"For my snack, I've got a small serving of cola, 1 fl oz, along with a snack-sized tub of plain potato chips.",14.25,7.11,121.62,0.92,USA,natural
"This morning, I have a croissant that weighs 57 grams and 124 grams of fresh orange juice.",40.31,12.12,290.94,5.51,USA,metric
I’ve got a lunch of 216 grams of fruit smoothie with added protein and 25 grams of raw kale on the side.,22.07,2.98,175.07,16.669999999999998,USA,metric
I'm having a 20g sugar-free chocolate chip cookie as a snack.,14.68,3.36,90.0,0.78,USA,metric
I'm enjoying a cup of ice cream for my afternoon snack.,35.59,15.26,298.35,4.82,USA,natural
"For lunch, I'm having a cup of cooked and diced baked chicken drumstick with the skin eaten.",0.16,15.47,278.1,34.63,USA,natural
"For dinner, I had a fish stick, an ounce of high vitamin C fruit juice, and a bottle of water.",7.2,2.79,61.35,1.91,USA,natural
"For a snack, I grabbed a cookie that’s a marshmallow pie covered in chocolate, weighing 39 grams.",26.4,6.59,164.19,1.56,USA,metric
"For dinner, I have 620 grams of decaffeinated cola and 200 grams of raw cucumber.",72.86,0.22,284.2,1.3,USA,metric
"For my dinner, I have a glass of tap water and a cup of cooked, diced beef steak that’s been breaded or fried.",16.29,18.06,359.12,32.68,USA,natural
"For breakfast today, I have a regular bagel with fruit and a 6 oz container of nonfat yogurt.",76.31,1.6,396.25,18.68,USA,natural
"For lunch, I had a cup of tap water, a granola bar, and a peanut butter and jelly sandwich on wheat bread.",76.07000000000001,27.25,604.61,18.41,USA,natural
"Lunch today includes 20 grams of turkey or chicken sausage, a fried whole egg weighing 55 grams, and 225 grams of plantains cooked in oil.",70.05,18.2,468.85,13.21,USA,metric
"I’m enjoying a submarine sandwich with ham, cheese, lettuce, tomato, and spread for dinner.",59.57,6.58,392.6,23.71,USA,natural
"For my snack, I’m enjoying a fried chicken wing from a fast food restaurant.",8.21,11.68,177.1,9.76,USA,natural
"I made a breakfast with 240 grams of brewed coffee, 240 grams of tap water, a 150-gram raw peach, 30 grams of flavored coffee creamer, a 126-gram banana, and a 140-gram egg and cheese biscuit.",78.6,34.45,672.8399999999999,17.37,USA,metric
"For a snack, I’m enjoying some plantain chips, about 8.4 grams.",5.36,2.49,44.6,0.19,USA,metric
"For breakfast, I had one cooked whole egg, a cup of instant coffee, an ounce of whole milk, and a cup of white rice with soy-based sauce.",54.23,12.89,387.92,12.0,USA,natural
"For dinner, I'm having a cup of cooked, diced baked chicken breast from a fast food restaurant.",0.0,7.34,236.25,39.91,USA,natural
"For my snack, I’m munching on 57 grams of plain potato chips and 30 grams of chocolate chip cookies.",50.29,26.79,450.84,5.17,USA,metric
"For breakfast, I'm having a can of cola and a package of breakfast tarts.",116.12,10.67,572.04,4.33,USA,natural
I'm enjoying 310 grams of orange juice and 532 grams of ready-to-serve chicken noodle soup for dinner.,52.1,4.5200000000000005,279.58000000000004,8.49,USA,metric
"One cookie, a macaroon, is what I’ll be having for lunch.",14.69,5.41,110.4,0.72,USA,natural
"For lunch, I'm having a raw banana weighing about 126 grams along with a 248-gram can of Red Bull energy drink.",54.150000000000006,0.42,218.78,2.51,USA,metric
I’m enjoying 240 grams of Gatorade G2 along with 195 grams of fried chicken breast for lunch.,18.56,28.76,504.75,40.17,USA,metric
"For my snack, I chose a 95-gram prepackaged vanilla ice cream cone and a fresh orange that weighs 154 grams.",50.76,20.97,408.68,6.4,USA,metric
"For dinner, it's a cup of lentil curry paired with rice.",37.14,6.96,234.0,6.54,USA,natural
I'm eating a 100g cheeseburger from school and a 30g cookie for lunch.,44.07,14.5,392.2,20.49,USA,metric
I’ve got a snack of 11.6 grams of gumdrops along with 14 grams of hard candy.,25.19,0.03,101.1,0.0,USA,metric
"For my dinner, I'm having a 170-gram serving of junior sweet potatoes in baby food form.",23.8,0.17,102.0,1.87,USA,metric
"For lunch today, I’m drinking 600 grams of unsweetened bottled water and eating 155 grams of cooked broccoli.",10.7,0.59,54.25,4.54,USA,metric
"For my snack, I’m enjoying one individual pie.",51.12,19.32,379.2,3.6,USA,natural
I’ve got 244 grams of 2% milk to go with my 112-gram peanut butter and jelly sandwich on whole wheat.,60.36,23.38,524.0799999999999,22.24,USA,metric
Lunch today is a 16.9 fl oz bottle of water alongside a snack-sized container of flavored potato chips.,11.01,7.01,108.4,0.92,USA,natural
"For breakfast, I'm having a frankfurter sandwich made with a beef and pork hot dog on whole wheat bread, topped with a slice of cheddar cheese. I'm having another medium slice of whole wheat bread on the side.",35.370000000000005,24.28,439.38,19.81,USA,natural
"For breakfast today, I'm drinking a bottle of orange juice and eating a medium raw apple.",55.57,0.64,220.56,2.21,USA,natural
I'm enjoying a cup of Cheerios for breakfast.,20.5,1.85,104.16,3.47,USA,natural
"For breakfast, I had 75 grams of yellow cake with icing and 248 grams of low-fat chocolate milk.",66.69,16.060000000000002,442.97,10.95,USA,metric
"For brunch, I had a sandwich with regular peanut butter and jelly on wheat bread, a banana, and a 16 fl oz Rockstar energy drink.",140.15,20.25,801.9,17.13,USA,natural
I have a slice of thick crust cheese pizza and a 12 fl oz cola to drink for dinner.,82.32,14.84,513.96,14.27,USA,natural
I’ve got one frankfurter on bread for lunch.,15.51,17.81,264.35,9.66,USA,natural
"For breakfast, I'm having a 12 fl oz bottle of Gatorade and a 10 fl oz bottle of 100% apple juice.",58.95,0.4,239.32,0.31,USA,natural
"For breakfast, I'm having a cup of low-fat milk and a boiled egg.",13.02,7.08,176.42000000000002,14.53,USA,natural
"For breakfast, I'm having 240 grams of brewed coffee, 15 grams of half-and-half, and a whole fried egg weighing 50 grams with no added fat.",1.0,6.51,93.55,7.02,USA,metric
"For lunch, I'm having a can of diet pepper soda with a piece of thin crust pizza that has meat other than pepperoni.",29.12,18.53,341.04,14.29,USA,natural
I’m having a 30-gram peanut butter cookie paired with 150 grams of fresh raspberries as a snack.,35.35,8.13,219.9,4.48,USA,metric
"I’ve got a cup of nachos topped with meat and cheese, along with a Little Hug fruit flavored drink for dinner.",63.25,16.51,470.24,17.85,USA,natural
"I’m starting my day with a corn dog, along with a cup of reduced fat milk and a carton of orange juice.",50.010000000000005,15.37,402.76,16.55,USA,natural
I'm enjoying a snack that includes 240 grams of tap water and 360 grams of hot black tea.,1.08,0.0,3.6,0.0,USA,metric
"For a snack, I have a piece of pound cake that weighs 91 grams.",48.81,12.7,321.23,4.55,USA,metric
I'm drinking an 11 fl oz can of Slim Fast for breakfast.,26.39,6.58,194.37,11.32,USA,natural
I’m enjoying a 130-gram fruit muffin alongside 244 grams of low-fat milk for breakfast.,81.56,23.21,592.42,14.09,USA,metric
I’m having a 20g almond cookie as a snack.,12.76,5.24,102.8,1.07,USA,metric
"For breakfast, I'm eating a medium apple, a rice cake, and a 5.3 oz cup of nonfat Greek yogurt with different flavors.",45.6,0.74,232.76,13.69,USA,natural
"This morning, I enjoyed a waffle, one tablespoon of pancake syrup, and one turkey sausage patty.",33.96,5.73,225.45,9.74,USA,natural
I'm snacking on one slice of American cheese and one milk chocolate candy bar.,28.0,17.89,299.87,6.75,USA,natural
"For my snack, I've got 57 grams of flavored tortilla chips and a 200-gram apple.",62.28,15.97,399.83,4.720000000000001,USA,metric
I'm having 113 grams of baby food made with chicken and vegetables and 113 grams of mango dessert for tonight's meal.,30.98,2.18,145.76999999999998,3.13,USA,metric
"For dinner, I’m enjoying 198 grams of fried rice that has pork in it.",54.69,8.24,354.42,14.97,USA,metric
"For dinner, I'm having a frankfurter on a white bun with a tablespoon of ketchup and a bottle of unsweetened water.",29.5,12.16,276.25,11.91,USA,natural
"For lunch, I'm having a jar of strained vegetable and turkey baby food along with a jar of strained peach cobbler baby food.",28.72,1.02,127.69,2.96,USA,natural
I'm enjoying a medium Pan Dulce without any topping and a small hot chamomile tea for breakfast.,43.57,8.8,282.52000000000004,7.16,USA,natural
